predict_price_nn,difference_nn,percent_change_nn
389139.25,-151139.25,-63.5
443316.34,-93326.34375,-26.67
735400.1,-10400.125,-1.43
249392.84,-44392.84375,-21.66
351505.1,-121505.09375,-52.83
485890.8,4109.1875,0.84
426418.72,38581.28125,8.3
765554.5,-89654.5,-13.26
741297.4,1657702.625,69.1
609977.1,105022.875,14.69
2014965.8,-514965.75,-34.33
421421.9,153578.09375,26.71
423007.4,-213007.40625,-101.43
486369.28,-51369.28125,-11.81
575907.94,13092.0625,2.22
177317.67,2682.328125,1.49
154793.3,58206.703125,27.33
531905.8,17594.1875,3.2
473485.62,6514.375,1.36
898625.25,-78625.25,-9.59
326707.38,-137307.375,-72.5
278127.03,-33127.03125,-13.52
336682.6,-3782.59375,-1.14
323463.6,91536.40625,22.06
1584543.9,-149543.875,-10.42
1131323.5,363676.5,24.33
447995.38,52004.625,10.4
1492582.6,202417.375,11.94
498711.53,-229711.53125,-85.39
240446.11,54553.890625,18.49
348570.84,-53570.84375,-18.16
525231.9,4212.125,0.8
351573.4,-149573.40625,-74.05
141484.77,58515.234375,29.26
374935.5,-49935.5,-15.36
557116.6,2041883.375,78.56
331287.38,68612.625,17.16
496697.28,73302.71875,12.86
335908.66,-136008.65625,-68.04
462753.38,-97753.375,-26.78
239042.6,-10542.59375,-4.61
617114.06,-48214.0625,-8.47
240035.62,-40135.625,-20.08
385101.66,14888.34375,3.72
953249.1,-133349.125,-16.26
614330.44,-334330.4375,-119.4
1830194.4,154805.625,7.8
443083.8,-43183.8125,-10.8
1169977.5,-369978.5,-46.25
814288.1,-169288.125,-26.25
237393.7,-22493.703125,-10.47
254639.81,-17739.8125,-7.49
447318.56,127681.4375,22.21
499793.12,201.875,0.04
929146.0,-160146.0,-20.83
279747.1,-31247.09375,-12.57
316659.38,17740.625,5.31
2454396.0,795604.0,24.48
224397.2,-49497.203125,-28.3
561979.7,137020.3125,19.6
271018.47,8881.53125,3.17
810866.25,174133.75,17.68
152616.97,47283.03125,23.65
1195308.2,39691.75,3.21
671183.5,-46183.5,-7.39
768560.0,130440.0,14.51
264951.16,-14951.15625,-5.98
497372.0,-102372.0,-25.92
186386.7,-21486.703125,-13.03
750198.6,249791.375,24.98
299247.72,-29247.71875,-10.83
1342357.8,-392360.75,-41.3
312525.94,36474.0625,10.45
1148795.8,-523795.75,-83.81
277193.03,-82193.03125,-42.15
455101.44,-80101.4375,-21.36
819962.7,-694962.6875,-555.97
592951.44,-173051.4375,-41.21
209735.89,-22235.890625,-11.86
264211.22,-9212.21875,-3.61
714877.56,134122.4375,15.8
709668.6,65331.375,8.43
515573.28,-50573.28125,-10.88
427114.03,-168114.03125,-64.91
976261.0,23739.0,2.37
485974.53,-5975.53125,-1.24
693104.3,-444104.3125,-178.36
458227.03,26672.96875,5.5
1639915.5,859084.5,34.38
806685.4,-156685.375,-24.11
353441.56,-26441.5625,-8.09
260196.84,-74196.84375,-39.89
880962.1,-205962.125,-30.51
315923.7,9076.3125,2.79
384726.4,-215726.40625,-127.65
227390.8,-42390.796875,-22.91
233672.06,1327.9375,0.57
821192.9,-72192.875,-9.64
1154305.8,-205305.75,-21.63
376871.1,23128.90625,5.78
311929.88,-12029.875,-4.01
639861.56,10038.4375,1.54
250349.08,-47349.078125,-23.32
773062.06,-210077.0625,-37.31
584022.3,1110977.6875,65.54
252263.34,56736.65625,18.36
918383.5,254616.5,21.71
324338.2,-136438.1875,-72.61
1073006.0,326994.0,23.36
246582.3,-46682.296875,-23.35
1114768.5,25231.5,2.21
307015.4,-7115.40625,-2.37
504161.34,-79161.34375,-18.63
681220.7,77779.3125,10.25
694860.7,-78860.6875,-12.8
228653.81,-3653.8125,-1.62
2156852.5,-606852.5,-39.15
258182.73,-79182.734375,-44.24
288776.62,-38876.625,-15.56
267968.62,-83968.625,-45.64
1082620.8,-183620.75,-20.42
617133.5,182766.5,22.85
1030705.6,-55705.625,-5.71
326767.6,63132.40625,16.19
754988.06,214511.9375,22.13
206283.11,-1283.109375,-0.63
550174.06,-102724.0625,-22.96
318032.34,8234.65625,2.52
323512.84,151487.15625,31.89
451988.34,-11988.34375,-2.72
196379.55,18620.453125,8.66
526816.1,148183.875,21.95
562549.6,117450.375,17.27
383839.8,-14116.8125,-3.82
240709.81,-35809.8125,-17.48
225982.86,-30982.859375,-15.89
1246920.0,-396920.0,-46.7
366495.78,-1496.78125,-0.41
922949.4,-73949.375,-8.71
258654.88,16345.125,5.94
571253.9,-32253.875,-5.98
756470.2,-101470.1875,-15.49
2813904.5,-218904.5,-8.44
459432.53,-28432.53125,-6.6
207512.56,7487.4375,3.48
662148.6,-225248.625,-51.56
263905.4,-48905.40625,-22.75
555997.06,243002.9375,30.41
1042765.5,352234.5,25.25
829657.9,169342.125,16.95
408953.97,-29053.96875,-7.65
719013.3,58986.6875,7.58
250774.1,-40874.09375,-19.47
237670.42,-57770.421875,-32.11
377707.34,167192.65625,30.68
209865.58,-34866.578125,-19.92
1471711.4,-276711.375,-23.16
445920.53,17079.46875,3.69
542975.4,12024.625,2.17
1849769.6,449230.375,19.54
337919.22,46080.78125,12.0
350464.28,-125464.28125,-55.76
189376.92,-109476.921875,-137.02
650205.25,274794.75,29.71
732225.75,77774.25,9.6
346011.2,2988.8125,0.86
654755.3,-229755.3125,-54.06
1083786.2,-84786.25,-8.49
329946.66,150053.34375,31.26
235107.0,-10107.0,-4.49
424464.75,64535.25,13.2
212070.3,27829.703125,11.6
